"","Mots","Frequence"
"1","thevoic",38986
"2","voic",10372
"3","the",10252
"4","http",8016
"5","tf1",7731
"6","chant",4657
"7","soir",4555
"8","ã§a",2668
"9","aim",2655
"10","bien",2439
"11","trop",2407
"12","voix",2352
"13","plus",2328
"14","regard",2159
"15","fait",1934
"16","audit",1925
"17","tout",1916
"18","chanson",1850
"19","liber",1844
"20","mik",1792
"21","dã©livr",1716
"22","aveugl",1709
"23","derni",1647
"24","rein",1629
"25","zaz",1588
"26","quand",1447
"27","neig",1444
"28","nikosaliag",1405
"29","dev",1382
"30","ceris",1332
"31","anne",1293
"32","bon",1293
"33","jenif",1277
"34","retourn",1244
"35","bel",1231
"36","pens",1227
"37","non",1180
"38","camill",1159
"39","part",1132
"40","talent",1069
"41","coach",1056
"42","lã ",1047
"43","comm",1043
"44","fair",1029
"45","tel",1027
"46","pass",1015
"47","ador",1009
"48","tres",986
"49","florent",951
"50","meuf",926
"51","meilleur",910
"52","vais",906
"53","vrai",878
"54","fill",797
"55","ã©quip",778
"56","coup",769
"57","tous",749
"58","cã©sar",738
"59","auss",711
"60","quoi",711
"61","voir",679
"62","encor",662
"63","bravo",656
"64","mdr",654
"65","ãªtre",644
"66","franc",640
"67","just",638
"68","battl",624
"69","magnif",622
"70","barb",614
"71","annã©",607
"72","dit",606
"73","putain",605
"74","beau",590
"75","manqu",578
"76","person",578
"77","avoir",576
"78","comment",573
"79","fois",573
"80","prochain",566
"81","dir",558
"82","prestat",557
"83","mikasound",553
"84","fin",552
"85","pagny",546
"86","toujour",539
"87","jennif",532
"88","maximilien",531
"89","fais",528
"90","pend",516
"91","pub",516
"92","semain",516
"93","merc",514
"94","fanny",503
"95","tãªt",502
"96","appel",498
"97","louuuuuan",497
"98","rien",496
"99","zazieonlin",494
"100","espoir",475
"101","chandeli",462
"102","commenc",462
"103","enfin",449
"104","peut",449
"105","apres",448
"106","candidat",448
"107","oui",448
"108","teleloisir",446
"109","ptn",445
"110","nin",443
"111","lellouch",442
"112","chois",437
"113","louan",436
"114","seul",436
"115","dã©couvr",432
"116","version",432
"117","mec",431
"118","import",429
"119","donc",428
"120","liv",427
"121","remport",427
"122","parl",426
"123","con",425
"124","sup",425
"125","peu",421
"126","fã©licit",418
"127","grand",417
"128","repris",413
"129","pourquoi",407
"130","mainten",406
"131","fabien",404
"132","dã©jã ",402
"133","mer",402
"134","team",400
"135","jam",399
"136","vont",399
"137","music",398
"138","alor",395
"139","quelqu",384
"140","chez",372
"141","ã©miss",370
"142","fã©minin",368
"143","premi",367
"144","mail",364
"145","prã©fer",361
"146","faut",360
"147","coachstyl",354
"148","rap",352
"149","allez",349
"150","plait",346
"151","hã¢t",345
"152","gagn",342
"153","tillthecat",342
"154","grav",341
"155","samed",341
"156","trouv",339
"157","interpret",338
"158","doit",333
"159","dis",331
"160","thevoicefr",330
"161","avant",325
"162","beaugrand",324
"163","cabrel",324
"164","frisson",324
"165","mond",323
"166","tof",323
"167","merd",322
"168","ã©cout",321
"169","saison",320
"170","jol",319
"171","capabl",317
"172","retweet",316
"173","top",314
"174","lol",313
"175","uedbbnhtkh",311
"176","gen",304
"177","gueul",304
"178","mal",300
"179","attend",298
"180","moment",295
"181","pet",295
"182","autr",294
"183","musiqu",293
"184","original",293
"185","rejoindr",288
"186","teammik",287
"187","don",286
"188","chang",285
"189","famill",284
"190","plac",281
"191","moin",279
"192","plein",279
"193","rest",277
"194","aller",276
"195","hibatawaj",276
"196","jury",276
"197","peux",274
"198","citronni",272
"199","coeur",271
"200","mieux",270
"201","prim",270
"202","petit",269
"203","bah",267
"204","mdrr",265
"205","batter",263
"206","complet",263
"207","2nde",262
"208","emoireoff",262
"209","publicfr",261
"210","perc",260
"211","suit",259
"212","genr",256
"213","temp",253
"214","jou",251
"215","thisisbbp",251
"216","beaucoup",250
"217","chantent",250
"218","chaqu",250
"219","hein",250
"220","omg",250
"221","oã¹",248
"222","buzz",246
"223","ceux",243
"224","compr",242
"225","lolit",242
"226","papaout",241
"227","vas",241
"228","karineferr",240
"229","prã©sent",240
"230","sort",240
"231","envi",235
"232","vit",235
"233","cochon",232
"234","voilã ",231
"235","sais",230
"236","vient",230
"237","ouais",229
"238","prãªt",227
"239","retrouv",227
