"","Mots","Frequence"
"1","thevoic",717
"2","http",504
"3","voic",438
"4","the",420
"5","tf1",354
"6","fair",224
"7","genr",220
"8","barr",219
"9","espoir",219
"10","faux",219
"11","enti",217
"12","faudr",217
"13","fauteuil",217
"14","mettr",217
"15","puiss",217
"16","tour",217
"17","aim",127
"18","clip",124
"19","decouvr",119
"20","cour",116
"21","exclu",115
"22","talent",87
"23","zazieonlin",82
"24","equip",79
"25","parisien",71
"26","nikosaliag",70
"27","nouveau",69
"28","pass",67
"29","essay",59
"30","negoci",58
"31","possibl",58
"32","fxypylv0hk",57
"33","pleas",53
